OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;Address;City;State;ZipCode;TaxParcelIdentificationNumber;CouncilDistrictCode;Neighborhood;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;YearsENERGYSTARCertified;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);TotalGHGEmissions;GHGEmissionsIntensity;DefaultData;ComplianceStatus;Outlier;Predict_ghgemissions;Predict_energyuse
753;2017;NonResidential;Other;WestinBuilding;2001 6th Ave;Seattle;WA;98121.0;0659000950;7.0;DOWNTOWN;47.61438;-122.33871;1981.0;1.0;33.0;429,405;0;429,405;Data Center, Office;Data Center;218,997;Office;210,409;;;;;637.70;637.60;2,001.80;2,001.70;273,820,064;273,808,512;;80,220,808;273,713,396.896;1,066.28;106,627.98;1,138.04;2.65;N;Compliant;;261.99;1996614.5
754;2017;NonResidential;Large Office;8th & Olive;720 Olive Way;Seattle;WA;98101.0;0659000305;7.0;DOWNTOWN;47.61418;-122.33485;1981.0;1.0;19.0;383,515;89,778;293,737;Office, Parking;Office;328,337.8125;Parking;91,000;Medical Office;5,027;2,018,201,720,162,015,201,320,122,011,201,020,092,008;91.0;41.50;41.30;130.20;129.70;13,738,454;13,686,910;;4,026,510;13,738,452.12;;;56.84;0.148;N;Compliant;;261.99;1996614.5
755;2017;NonResidential;Medical Office;Medical Dental Building;509 Olive Way;Seattle;WA;98101.0;0659000085;7.0;DOWNTOWN;47.6129;-122.33684;1925.0;1.0;18.0;363,934;28,870;335,064;Medical Office, Parking, Retail Store;Medical Off;281,598;Parking;27,597;Retail Store;21,519;;73.0;70.70;69.60;179.20;177.80;21,418,702;21,111,580;6,672,375;4,318,226;14,733,787.112;125.39;12,539.00;416.33;1.144;N;Compliant;;261.99;1996614.5
756;2017;NonResidential;Retail Store;601 Pine St;601 Pine St;Seattle;WA;98101.0;1976700005;7.0;DOWNTOWN;47.61203;-122.33486;1929.0;1.0;4.0;78,920;0;78,920;Retail Store;Retail Stor;78,920;;;;;;89.0;87.60;87.60;248.10;248.10;6,911,032.5;6,911,358;;1,728,039;5,896,069.068;10,149.63;1,014,962.99;78.30;0.992;N;Compliant;;261.99;1996614.5
757;2017;NonResidential;Mixed Use Property;Market Place I & II-2003 Western Avenue;2003 Western Avenue;Seattle;WA;98121.0;1977200280;7.0;DOWNTOWN;47.61051;-122.34439;1979.0;1.0;7.0;131,143;87,160;43,983;Office, Parking, Restaurant;Office;120,065.8984375;Parking;120,000;Restaurant;12,860;2,018;80.0;81.20;;189.40;;10,794,688;;;1,940,971.5;6,622,594.758;41,720.93;4,172,092.97;248.98;1.899;N;Compliant;;261.99;1996614.5
758;2017;NonResidential;Other;Pacific Place;600 Pine Street;Seattle;WA;98101.0;6600470000;7.0;DOWNTOWN;47.61289;-122.33531;1999.0;1.0;0.0;947,987;440,185;507,802;Office, Other - Entertainment/Public Assembly, Other - Mall, Restaurant;Other - Mal;561,684;Other - Entertainment/Public Assembly;100,000;Restaurant;80,000;;;67.40;67.40;211.80;211.80;50,357,440;50,357,440;;14,758,920;50,357,435.04;;;208.33;0.22;N;Compliant;;261.99;1996614.5
759;2017;NonResidential;Mixed Use Property;Oddfellows;915 E Pine St;Seattle;WA;98122.0;6003500460;3.0;EAST;47.61505;-122.32;1908.0;1.0;4.0;55,520;0;55,520;Office, Performing Arts, Restaurant, Retail Store, Self-Storage Facility;Office;17,120;Performing Arts;15,300;Self-Storage Facility;13,400;;;71.00;71.10;109.30;109.30;3,944,363.25;3,946,072.25;;270,162.40625;921,794.130125;30,225.69;3,022,569.14;164.34;2.96;Y;Not Compliant;;261.99;1996614.5
760;2017;NonResidential;Large Office;TwoPine;1601 Second Avenue;Seattle;WA;98101.0;1977200040;7.0;DOWNTOWN;47.61036;-122.34037;1908.0;1.0;10.0;132,998;0;132,998;Office, Retail Store;Office;120,437;Retail Store;0;;;;;30.20;29.90;56.50;56.10;3,642,356.5;3,597,249.25;2,391,358.25;366,646.59375;1,250,998.177875;;;132.30;0.995;N;Compliant;;261.99;1996614.5
761;2017;NonResidential;Retail Store;Ross Dress for Less;301 Pike Street;Seattle;WA;98101.0;1975700300;7.0;DOWNTOWN;47.60956;-122.33715;1940.0;1.0;3.0;83,118;0;83,118;Retail Store;Retail Stor;45,000;;;;;;;56.60;55.10;158.20;156.60;2,544,799.25;2,478,108.5;;623,468.875;2,127,275.8015;4,175.23;417,523.00;30.98;0.373;Y;Not Compliant;;261.99;1996614.5
762;2017;NonResidential;Retail Store;Kress Building;1419 Third Avenue;Seattle;WA;98101.0;1975700485;7.0;DOWNTOWN;47.60925;-122.33734;1924.0;1.0;3.0;77,555;0;77,555;Retail Store;Retail Stor;73,563;;;;;;48.0;98.40;98.40;308.90;308.90;7,236,532;7,236,532;;2,120,838;7,236,299.256;2.32;232.00;29.95;0.386;N;Compliant;;261.99;1996614.5
763;2017;NonResidential;Small- and Mid-Sized Office;Market Square;1415 Western Avenue;Seattle;WA;98121.0;7666202405;7.0;DOWNTOWN;47.60765;-122.34097;1909.0;1.0;6.0;51,218;0;51,218;Office, Restaurant;Office;44,913;Restaurant;7,044;;;;60.0;55.30;55.30;173.50;173.50;2,875,217;2,875,218;;840,726.375;2,868,558.3915;66.58;6,658.00;12.22;0.239;N;Compliant;;261.99;1996614.5
764;2017;NonResidential;Large Office;Financial Center - COS;1215 4th Avenue;Seattle;WA;98101.0;0002400002;7.0;DOWNTOWN;47.60765;-122.3348;1970.0;1.0;29.0;453,106;65,451;387,655;Office, Other - Restaurant/Bar, Other - Technology/Science, Parking;Office;371,450;Parking;65,451;Other - Technology/Science;9,295;;3.0;187.70;187.70;556.20;556.20;72,754,048;72,754,048;;19,524,424;66,617,334.688;61,366.99;6,136,699.22;601.52;1.328;N;Compliant;;261.99;1996614.5
765;2017;NonResidential;Large Office;Seattle Tower;1218 3rd Avenue;Seattle;WA;98101.0;1975200005;7.0;DOWNTOWN;47.60769;-122.33544;1929.0;1.0;27.0;216,571;13,320;203,251;Office, Other - Technology/Science, Parking, Restaurant;Office;181,471;Parking;9,370;Restaurant;6,293;2,014,201,320,122,008;80.0;76.80;76.40;168.50;168.10;14,708,842;14,633,225;7,049,828.5;2,207,128.5;7,530,722.442;1,282.90;128,290.00;412.75;1.906;N;Compliant;;261.99;1996614.5
766;2017;NonResidential;Large Office;1200 3rd Ave;1200 3rd Ave;Seattle;WA;98104.0;1975200015;7.0;DOWNTOWN;47.60741;-122.33565;1921.0;1.0;13.0;189,175;0;189,175;Office, Other;Office;151,740;Other;12,645;;;;14.0;117.30;117.30;368.30;368.30;19,280,292;19,280,292;;5,650,730;19,280,290.76;;;79.76;0.422;N;Compliant;;261.99;1996614.5
767;2017;NonResidential;Large Office;1015 3rd Ave;1015 3rd Ave;Seattle;WA;98104.0;0939000485;7.0;DOWNTOWN;47.60582;-122.33464;1998.0;1.0;13.0;293,576;74,481;219,095;Office, Parking;Office;145,491;Parking;70,603;;;;29.0;114.50;113.50;359.60;356.30;16,664,132;16,511,106;;4,883,977;16,664,129.524;;;68.94;0.235;N;Compliant;;261.99;1996614.5
768;2017;NonResidential;Large Office;1201 Western Avenue;1201 Western Avenue;Seattle;WA;98101.0;7666202480;7.0;DOWNTOWN;47.60576;-122.33922;1910.0;1.0;7.0;122,356;0;122,356;Data Center, Office, Retail Store;Office;95,942;Retail Store;15,523;Data Center;182;;;40.90;40.80;123.50;123.40;4,561,015;4,552,808.5;;1,261,729.875;4,305,022.3335;2,559.92;255,991.99;31.41;0.257;N;Compliant;;261.99;1996614.5
769;2017;NonResidential;Small- and Mid-Sized Office;United Way of King County;720 2nd Ave;Seattle;WA;98104.0;0939000240;7.0;DOWNTOWN;47.60366;-122.33328;1921.0;1.0;3.0;52,298;0;52,298;Office;Office;52,250;;;;;;82.0;41.80;40.80;131.20;128.20;2,183,367.5;2,132,868;;639,908.3125;2,183,367.16225;;;9.03;0.173;N;Compliant;;261.99;1996614.5
771;2017;NonResidential;Large Office;Hoge Building;705 2nd Avenue;Seattle;WA;98101.0;0939000230;7.0;DOWNTOWN;47.60304;-122.33362;1911.0;1.0;17.0;116,640;0;116,640;Financial Office, Food Service, Office, Other;Office;82,053;Financial Office;6,561;Food Service;6,333;;75.0;72.30;71.20;191.40;188.70;6,942,278;6,836,290.5;1,758,777.375;1,519,196.875;5,183,499.7375;;;114.94;0.985;N;Compliant;;261.99;1996614.5
772;2017;NonResidential;Large Office;800 Fifth Avenue;800 5th Ave;Seattle;WA;98104.0;0942000470;3.0;DOWNTOWN;47.60573;-122.33028;1981.0;1.0;42.0;1,249,055;201,121;1,047,934;Data Center, Medical Office, Office, Parking, Restaurant;Office;987,544;Parking;296,815;Medical Office;12,941;20,182,017,201,620,152,014,201,320,122,011,201,020,092,008,200,720,062,005,200,320,022,000;95.0;38.80;38.30;121.80;120.10;38,797,096;38,275,748;;11,370,777;38,797,091.124;;;160.51;0.129;N;Compliant;;261.99;1996614.5
773;2017;NonResidential;Small- and Mid-Sized Office;Seattle Building / Old Chamber of Commerce;215 Columbia St;Seattle;WA;98104.0;0939000245;7.0;DOWNTOWN;47.6038;-122.33293;1924.0;1.0;4.0;63,150;0;63,150;Office;;;;;;;;;;;;;;;;;;;;0.00;0.0;N;Not Compliant;;261.99;1996614.5
774;2017;NonResidential;Large Office;Pacific Building;720 3RD AVE;Seattle;WA;98104.0;0942000590;7.0;DOWNTOWN;47.60411;-122.33225;1970.0;1.0;22.0;227,556;98,556;129,000;Office, Parking;Office;227,556;Parking;72,561;;;;95.0;38.00;37.40;119.20;117.50;8,639,106;8,514,272;;2,531,976.75;8,639,104.671;;;35.74;0.157;N;Compliant;;261.99;1996614.5
775;2017;NonResidential;Large Office;Columbia Center - 2015;701 5th Avenue;Seattle;WA;98104.0;0942000640;7.0;DOWNTOWN;47.60454;-122.33072;1985.0;1.0;76.0;1,952,220;319,400;1,632,820;Office, Parking;Office;1,680,937;Parking;319,368;;;20,182,017,201,620,152,012,200,920,072,006;87.0;54.90;54.10;167.30;164.70;92,290,896;90,858,376;;25,856,420;88,222,105.04;40,687.79;4,068,779.30;581.08;0.298;N;Compliant;;261.99;1996614.5
776;2017;NonResidential;Medical Office;First Hill Medical Building;515 Minor Avenue;Seattle;WA;98104.0;8590900765;3.0;EAST;47.60663;-122.32157;1988.0;1.0;5.0;188,339;99,314;89,025;Medical Office, Parking;Medical Off;81,873;Parking;67,000;;;;18.0;106.40;106.30;314.40;314.30;8,707,656;8,703,165;;2,327,469.5;7,941,325.934;7,663.29;766,329.00;73.55;0.391;N;Compliant;;261.99;1996614.5
777;2017;NonResidential;University;Hospital Central Services Laundry;800 13th Ave;Seattle;WA;98122.0;2254500945;3.0;CENTRAL;47.6094;-122.31506;1916.0;1.0;2.0;60,122;0;60,122;College/University, Parking;College/Uni;60,122;Parking;0;;;;;14.70;14.70;40.90;40.90;882,882.625;883,473.8125;;214,458.5;731,732.402;1,511.50;151,150.00;11.05;0.184;N;Compliant;;261.99;1996614.5
778;2017;NonResidential;Small- and Mid-Sized Office;1st && King Street;500 1st Avenue S.;Seattle;WA;98104.0;7666206830;2.0;DOWNTOWN;47.5981;-122.33369;1910.0;1.0;6.0;95,000;13,700;81,300;Office, Parking;Office;84,481;Parking;8,474;;;;84.0;49.50;49.00;152.40;150.70;4,185,508.25;4,140,196.75;;1,189,450.125;4,058,403.8265;1,271.04;127,103.99;23.54;0.248;N;Compliant;;261.99;1996614.5
779;2017;NonResidential;Large Office;Administration Building;500 5TH AVE;SEATTLE;WA;98104.0;0942000920;7.0;DOWNTOWN;47.6029;-122.32927;1971.0;1.0;9.0;224,857;0;224,857;Office;Office;204,993;;;;;;81.0;65.90;64.90;172.90;171.50;13,512,825;13,306,036;3,605,581.5;2,903,646.5;9,907,241.858;;;232.66;1.035;N;Compliant;;261.99;1996614.5
780;2017;NonResidential;Large Office;King Street Center;201 South Jackson A-15;Seattle;WA;98104.0;5247800795;2.0;DOWNTOWN;47.59878;-122.33088;1998.0;1.0;8.0;446,261;124,788;321,473;Office, Parking;Office;343,400;Parking;114,237;;;2,014,201,020,082,001;97.0;37.10;37.10;116.60;116.60;12,756,465;12,756,465;;3,738,705.5;12,756,463.166;;;52.77;0.118;N;Compliant;;261.99;1996614.5
782;2017;NonResidential;Other;DOT 17G_01 1051 BUILDING;1051 1ST AVE SO;SEATTLE;WA;98104.0;7666206955;2.0;GREATER DUWAMISH;47.59273;-122.33455;1939.0;1.0;2.0;58,492;0;58,492;Other;Other;58,500;;;;;;;32.10;30.30;63.20;61.40;1,877,162.25;1,773,937.625;;242,425.296875;827,155.1129375;10,500.07;1,050,007.03;59.19;1.012;N;Compliant;;261.99;1996614.5
783;2017;NonResidential;Small- and Mid-Sized Office;Taylor Edwards Building;1518 1st Avenue South;Seattle;WA;98134.0;7666206440;2.0;GREATER DUWAMISH;47.58958;-122.33369;1907.0;1.0;6.0;62,370;0;62,370;Office, Restaurant;Office;49,473;Restaurant;10,408;;;;35.0;70.80;70.80;222.40;222.40;4,241,088;4,241,088;;1,242,991.625;4,241,087.4245;;;17.55;0.281;N;Compliant;;261.99;1996614.5
784;2017;NonResidential;Warehouse;SEWA;1919 Sixth Ave South;Seattle;WA;98134.0;7666204495;2.0;GREATER DUWAMISH;47.58454;-122.3269;1960.0;1.0;1.0;73,296;0;73,296;Non-Refrigerated Warehouse, Parking;Non-Refrige;77,800;Parking;0;;;2,014;83.0;35.20;33.20;66.90;64.40;2,739,859.75;2,580,923.75;;326,483;1,113,959.996;16,259.00;1,625,899.90;90.96;1.241;N;Compliant;;261.99;1996614.5
785;2017;Nonresidential COS;Small- and Mid-Sized Office;Airport Way Ctr - Bldg A;2203 Airport Way S;Seattle;WA;98134.0;7666203240;2.0;GREATER DUWAMISH;47.5829;-122.32417;1944.0;1.0;4.0;99,122;0;99,122;Laboratory, Office;Office;67,536;Laboratory;32,859;;;;;146.60;145.00;407.60;405.90;14,722,732;14,559,004;;3,570,354;12,182,047.848;25,406.83;2,540,683.01;185.33;1.87;N;Compliant;;261.99;1996614.5
787;2017;NonResidential;Warehouse;Seattle Lighting Distribution Center;26 South Hanford Street;Seattle;WA;98134.0;7666207627;2.0;GREATER DUWAMISH;47.57613;-122.33864;1952.0;1.0;2.0;115,668;0;115,668;Data Center, Non-Refrigerated Warehouse, Office, Retail Store;Non-Refrige;101,752;Office;8,068;Retail Store;4,270;;;24.10;23.90;49.40;49.20;2,765,729.5;2,738,948;;387,515.09375;1,322,201.499875;14,435.28;1,443,528.03;82.14;0.71;Y;Not Compliant;;261.99;1996614.5
791;2017;NonResidential;Other;United Parcel Service;4455 7th Avenue South;Seattle;WA;98108.0;7376600390;2.0;GREATER DUWAMISH;47.56301;-122.32564;1970.0;1.0;1.0;141,686;0;141,686;Other;Other;152,511;;;;;;;42.20;42.20;132.40;132.40;6,430,727;6,431,689;;1,884,738.125;6,430,726.4825;;;26.60;0.188;N;Compliant;;261.99;1996614.5
792;2017;NonResidential;Small- and Mid-Sized Office;McKinstry SEA - 5005 3rd Ave S Office;5005 3rd Avenue S.;Seattle;WA;98134.0;3573700320;2.0;GREATER DUWAMISH;47.55695;-122.33176;1950.0;1.0;1.0;93,610;0;93,610;Data Center, Office;Office;101,278;Data Center;502;;;2,018,201,720,162,007;96.0;65.20;63.50;144.90;142.20;6,634,006.5;6,461,166;;1,090,730.125;3,721,571.1865;29,124.35;2,912,434.96;170.08;1.817;N;Compliant;;261.99;1996614.5
793;2017;NonResidential;Large Office;Seattle Design Center (Atrium Building);5701 6th Ave. S;Seattle;WA;98108.0;2738100010;2.0;GREATER DUWAMISH;47.55238;-122.32762;1973.0;1.0;2.0;156,188;0;156,188;Office, Parking;Office;141,917;Parking;0;;;;62.0;53.50;52.00;162.30;157.60;7,592,942;7,380,661;;2,111,278;7,203,680.536;3,892.61;389,260.96;50.48;0.323;N;Compliant;;261.99;1996614.5
794;2017;NonResidential;Warehouse;NWCP-SEA Bldg C;703 S Fidalgo St;Seattle;WA;98108.0;2738100480;2.0;GREATER DUWAMISH;47.54923;-122.32446;1966.0;1.0;1.0;115,620;0;115,620;Non-Refrigerated Warehouse;Non-Refrige;56,900;;;;;;12.0;34.40;34.40;107.90;107.90;1,955,681.75;1,955,681.75;;573,177.5;1,955,681.63;;;8.09;0.07;N;Compliant;;261.99;1996614.5
796;2017;NonResidential;Large Office;6100 Building;6100 4th Ave S;Seattle;WA;98108.0;5367200610;2.0;GREATER DUWAMISH;47.54699;-122.32882;1975.0;1.0;5.0;238,148;0;238,148;Office, Parking;Office;245,240;Parking;5,616;;;;94.0;43.50;43.50;136.60;136.60;10,672,019;10,672,019;;3,127,789.5;10,672,017.774;;;44.15;0.185;N;Compliant;;261.99;1996614.5
797;2017;NonResidential;Distribution Center;Westcore River Street;303 S River Street;Seattle;WA;98108.0;5367204100;2.0;GREATER DUWAMISH;47.54326;-122.33134;1969.0;1.0;1.0;71,718;0;71,718;Distribution Center;Distributio;71,718;;;;;;100.0;2.90;2.90;9.10;9.10;207,462.703125;207,462.703125;;60,803.80078125;207,462.568265625;;;0.86;0.012;N;Compliant;;261.99;1996614.5
798;2017;NonResidential;Warehouse;OPS;7440 W. Marginal Way S.;Seattle;WA;98108.0;2924049101;1.0;GREATER DUWAMISH;47.53628;-122.3329;1969.0;1.0;1.0;55,450;0;55,450;Non-Refrigerated Warehouse, Office;Non-Refrige;34,206;Office;21,244;;;;32.0;86.40;83.80;166.80;164.00;4,790,158.5;4,646,477.5;;591,317.5;2,017,575.31;27,725.83;2,772,583.01;155.60;2.806;N;Compliant;;261.99;1996614.5
799;2017;NonResidential;Distribution Center;Cloverdale Business Park Building D;309 South Cloverdale Street;Seattle;WA;98108.0;3224049012;1.0;GREATER DUWAMISH;47.52549;-122.33064;1979.0;33.0;1.0;54,880;0;54,880;Distribution Center;Distributio;55,000;;;;;;27.0;58.50;57.00;110.90;109.30;3,214,755.5;3,133,583.5;;381,805.40625;1,302,720.046125;19,120.35;1,912,034.96;106.94;1.949;N;Compliant;;261.99;1996614.5
800;2017;NonResidential;Retail Store;WEST SEATTLE (0637);2800 SW BARTON ST;SEATTLE;WA;98126.0;3624039166;1.0;DELRIDGE;47.52222;-122.36892;1992.0;1.0;1.0;102,500;0;102,500;Parking, Retail Store;Retail Stor;99,471;Parking;0;;;2,011;83.0;73.00;72.10;182.40;181.40;7,263,592;7,175,736;;1,474,645.75;5,031,491.299;22,321.00;2,232,100.00;139.36;1.36;N;Compliant;;261.99;1996614.5
801;2017;NonResidential;Other;NORTH BLDG;2670 NE 49th Street;Seattle;WA;98105.0;0925049425;4.0;NORTHEAST;47.66478;-122.29804;2002.0;1.0;6.0;361,398;272,900;88,498;Non-Refrigerated Warehouse, Other, Parking, Retail Store;Parking;232,685;Retail Store;63,419;Non-Refrigerated Warehouse;15,757;;;109.90;108.80;298.10;296.90;9,035,150;8,940,899;;2,104,326;7,179,960.312;18,551.89;1,855,189.06;128.23;0.355;N;Compliant;;261.99;1996614.5
802;2017;NonResidential;Supermarket / Grocery Store;70500849 -- Rainier Valley;2707 Rainier Avenue South;Seattle;WA;98144.0;5260300005;2.0;GREATER DUWAMISH;47.57903;-122.29982;1963.0;1.0;1.0;50,785;0;50,785;Supermarket/Grocery Store;Supermarket;27,382;;;;;;51.0;331.70;330.70;671.30;667.90;9,083,152;9,055,787;;1,240,064.5;4,231,100.074;48,520.51;4,852,051.17;275.20;5.419;N;Compliant;;261.99;1996614.5
803;2017;NonResidential;Small- and Mid-Sized Office;200 SW Michigan;200 SW Michigan;Seattle;WA;98106.0;5367202506;1.0;Delridge;47.54103;-122.33766;1929.0;1.0;3.0;85,126;0;85,126;Office;Office;81,526;;;;;;1.0;404.90;404.30;1,246.10;1,245.50;33,006,548;32,959,156;;9,385,776;32,024,267.712;9,822.75;982,275.29;184.66;2.169;N;Not Compliant;High outlier;261.99;1996614.5
804;2017;NonResidential;Other;Northgate North;302 NE Northgate Way;Seattle;WA;98125.0;2926049109;5.0;North;47.70911;-122.32529;2000.0;1.0;5.0;303,255;19,820;283,435;Other, Parking, Restaurant, Retail Store;Parking;321,828;Retail Store;298,043;Other;5,636;;;40.20;40.20;118.10;118.10;12,207,844;12,207,844;;3,233,551.75;11,032,878.571;11,749.64;1,174,963.96;108.05;0.356;N;Compliant;;261.99;1996614.5
805;2017;NonResidential;Distribution Center;Portside Distribution Center;4050 E. Marginal Way South;Seattle;WA;98134.0;7666207536;2.0;GREATER DUWAMISH;47.56613;-122.33838;1986.0;1.0;1.0;411,584;0;411,584;Distribution Center, Non-Refrigerated Warehouse, Refrigerated Warehouse;Distributio;288,048;Non-Refrigerated Warehouse;83,683;Refrigerated Warehouse;35,760;;55.0;36.90;35.00;65.20;63.20;15,030,439;14,264,949;;1,513,157.75;5,162,894.243;98,675.45;9,867,544.53;545.42;1.325;N;Compliant;;261.99;1996614.5
806;2017;NonResidential;Mixed Use Property;US Rubber Building;212 S Jackson Street;Seattle;WA;98104.0;5247800865;7.0;DOWNTOWN;47.59937;-122.33116;1902.0;1.0;4.0;72,000;0;72,000;Non-Refrigerated Warehouse, Office, Retail Store;Non-Refrige;27,283;Office;23,277;Retail Store;6,540;;;23.60;22.60;52.60;50.90;1,347,379.75;1,291,588;;222,473.796875;759,080.5949375;5,882.99;588,299.02;34.38;0.478;N;Compliant;;261.99;1996614.5
807;2017;NonResidential;Large Office;645 Elliott - North Building;645 Elliott Avenue West;Seattle;WA;98119.0;3879902265;7.0;MAGNOLIA / QUEEN ANNE;47.6252;-122.36737;2008.0;1.0;4.0;242,686;100,176;142,510;Office, Parking;Office;143,301;Parking;82,144;;;2,017;78.0;74.40;74.40;233.70;233.70;10,666,600;10,666,600;;3,126,201.25;10,666,598.665;;;44.13;0.182;N;Compliant;;261.99;1996614.5
809;2017;NonResidential;Small- and Mid-Sized Office;Washington Shoe Building;400 Occidental Ave. South;Seattle;WA;98104.0;5247800735;2.0;DOWNTOWN;47.59895;-122.33248;1900.0;1.0;6.0;95,760;15,840;79,920;Office, Parking, Restaurant;Office;61,592;Parking;12,110;Restaurant;11,072;;70.0;78.40;77.00;221.00;217.70;5,698,847.5;5,594,778;;1,412,390.25;4,819,075.533;8,797.71;879,771.00;66.66;0.696;N;Compliant;;261.99;1996614.5
811;2017;NonResidential;Warehouse;City Commerce Park;3849 1st Ave S.;Seattle;WA;98134.0;1824049060;2.0;GREATER DUWAMISH;47.56733;-122.3352;1946.0;1.0;1.0;179,413;0;179,413;Non-Refrigerated Warehouse;Non-Refrige;178,087;;;;;;58.0;19.80;19.10;62.20;60.00;3,527,913;3,401,109;;1,033,972;3,527,912.464;;;14.60;0.081;N;Compliant;;261.99;1996614.5
812;2017;NonResidential;Warehouse;Seattle Pottery Supply;35 S Hanford St;Seattle;WA;98134.0;7666207611;2.0;GREATER DUWAMISH;47.57513;-122.33739;1917.0;0.0;1.0;65,288;0;65,288;Non-Refrigerated Warehouse, Office, Other - Services, Retail Store;Non-Refrige;60,000;Other - Services;5,000;Retail Store;5,000;;;9.50;9.50;29.70;29.70;663,838.6875;663,838.6875;;194,560;663,838.72;;;2.75;0.042;Y;Not Compliant;;261.99;1996614.5
813;2017;NonResidential;Warehouse;3546 W Marginal Way SW;3546 W Marginal Way SW;Seattle;WA;98106.0;7666703967;1.0;Delridge;47.5725;-122.3571;1966.0;1.0;1.0;170,632;0;170,632;Non-Refrigerated Warehouse;Non-Refrige;170,632;Office;5,826;;;2,018;77.0;8.80;8.60;27.70;27.10;1,502,810.75;1,470,169.25;;440,448.59375;1,502,810.601875;;;6.22;0.036;N;Compliant;;261.99;1996614.5
814;2017;NonResidential;Large Office;West Lake Union Center;1505 Westlake Avenue North;Seattle;WA;98109.0;8807900130;7.0;MAGNOLIA / QUEEN ANNE;47.63264;-122.34171;1994.0;1.0;10.0;381,511;168,978;212,533;Office, Parking;Office;220,033;Parking;168,978;;;201,820,172,015,201,420,132,011;88.0;60.60;60.50;183.60;183.50;13,342,821;13,309,000;;3,701,223;12,628,572.876;7,142.47;714,247.07;90.18;0.236;N;Compliant;;261.99;1996614.5
815;2017;NonResidential;Large Office;Fifth and Yesler;300 - 5th Avenue;Seattle;WA;98104.0;0942001155;3.0;DOWNTOWN;47.60214;-122.32726;2009.0;1.0;17.0;413,264;138,098;275,166;Office, Parking, Retail Store;Office;295,494;Parking;94,781;;;20,172,016;92.0;45.30;43.80;142.10;137.50;13,374,763;12,944,155;;3,919,918.25;13,374,761.069;;;55.33;0.134;N;Compliant;;261.99;1996614.5
817;2017;NonResidential;Mixed Use Property;Russell Hall;1414 NE 42nd Street;Seattle;WA;98105.0;1142001150;4.0;NORTHEAST;47.6586;-122.3124;2009.0;1.0;6.0;122,400;54,300;68,100;Multifamily Housing, Office, Parking, Retail Store;Office;41,624;Parking;33,399;Multifamily Housing;20,740;;85.0;54.70;54.70;144.20;144.20;3,894,374.5;3,894,604.75;;866,386.6875;2,956,111.37775;9,382.63;938,262.89;62.06;0.507;N;Compliant;;261.99;1996614.5
819;2017;NonResidential;Retail Store;BLDG D;2689 NE University Village Street;Seattle;WA;98105.0;0925049346;4.0;NORTHEAST;47.66246;-122.29898;1956.0;1.0;2.0;93,803;0;93,803;Non-Refrigerated Warehouse, Other, Restaurant, Retail Store;Retail Stor;85,572;Restaurant;2,950;Other;2,500;;;55.60;55.60;144.10;144.10;5,160,026;5,160,813.5;;1,115,685.875;3,806,720.2055;13,533.05;1,353,304.98;87.62;0.934;N;Compliant;;261.99;1996614.5
820;2017;SPS-District K-12;K-12 School;Bailey Gatzert Elementary;1301 E. Yesler Way;Seattle;WA;98122.0;0007600137;3.0;CENTRAL;47.6012;-122.31548;1988.0;1.0;1.0;52,924;0;52,924;K-12 School;K-12 School;52,924;;;;;;90.0;36.10;36.10;113.50;113.50;1,912,536.625;1,912,536.625;;560,532.3125;1,912,536.25025;;;7.91;0.15;N;Compliant;;261.99;1996614.5
821;2017;NonResidential;Warehouse;3701 S. Norfolk;3701 S. Norfolk Street;Seattle;WA;98118.0;0323049194;2.0;GREATER DUWAMISH;47.51304;-122.28394;1966.0;1.0;2.0;123,000;0;123,000;Non-Refrigerated Warehouse, Office;Non-Refrige;112,484;Office;24,433;;;;52.0;21.10;21.00;66.10;66.00;2,882,466;2,879,504.5;;844,802.375;2,882,465.7035;;;11.93;0.097;N;Compliant;;261.99;1996614.5
822;2017;NonResidential;Warehouse;(ID#822) 98 NORFOLK;9877 40TH AVE S;Seattle;WA;98136.0;0323049221;2.0;GREATER DUWAMISH;47.51168;-122.28285;1978.0;1.0;1.0;60,448;0;60,448;Non-Refrigerated Warehouse, Office;Non-Refrige;52,702;Office;7,746;;;;90.0;20.90;19.90;42.20;41.20;1,262,619.25;1,204,173.75;;171,606.703125;585,522.0710625;6,770.97;677,097.02;38.38;0.635;N;Compliant;;261.99;1996614.5
